Complexity,Loss,Equation
1,0.08859225,"g"
2,0.010589223,"exp(y)"
3,0.006391391,"x / xy"
4,0.0039523607,"exp(b) / y"
5,0.0007024463,"exp(exp(g)) / y"
7,1.13360675e-5,"((y - x) / y) / y"
8,1.9000093e-7,"(y / exp(exp(exp(y)))) / x"
10,3.77136e-8,"(y / exp(exp(exp(xy)))) / (x - b)"
13,3.6009695e-8,"(y / exp(exp(exp(xy)))) / (x - exp(g - b))"
14,3.137558e-8,"(y / exp(exp(exp(xy)))) / (x - exp(exp(xy) - b))"
15,3.0641512e-8,"(y / exp(exp(exp(z)))) / (x - exp((b * z) / x))"
16,2.932672e-8,"(y / exp(exp(exp(xy)))) / (x - exp(g - exp(g - b)))"
20,2.517284e-11,"-0.10290396"
